CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE
41712453,MERRYLAND BUFFET,Bronx,2496,ELM PLACE,10458,7182208588,Chinese,8/28/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,27,Z
50140767,INTRIGUE BAR AND RESTAURANT,Queens,22218,MERRICK BLVD,11413,7183166612,Caribbean,8/28/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,46,N
50113606,BELLA ROMA PIZZA,Brooklyn,7022,3 AVENUE,11209,9176234300,Pizza,8/28/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10,A
50139267,ELENI'S GOODS,Manhattan,238,3 AVENUE,10003,9174158265,Greek,8/28/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A
50124688,MAMA MIA PIZZERIA,Brooklyn,2337,BATH AVENUE,11214,7183736356,Pizza,8/28/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,28,Z
50099663,ROSECRANS,Manhattan,7,GREENWICH AVENUE,10014,6465046864,Coffee/Tea,8/28/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,Z
50131253,TAQUERIA SABOR AZTECA,Brooklyn,271,BAY RIDGE AVENUE,11220,3473611154,Mexican,8/28/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A
41653536,PIO HOT BAGELS,Staten Island,655,ROSSVILLE AVENUE,10309,7186056100,Bagels/Pretzels,8/28/23,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,22,
50121620,ROCCOS PIZZA,Bronx,397,BEDFORD PARK BOULEVARD,10458,8453816930,Pizza,8/28/23,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,13,A
50087675,POPEYES,Queens,21903,N CONDUIT AVE,11413,7184135947,Chicken,8/28/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,25,
50136099,PORT SA'ID,Manhattan,350,HUDSON STREET,10014,9178177600,Mediterranean,8/28/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,22,N
50005783,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Queens,223-24,SOUTH CONDUIT AVENUE,11413,7183411600,Caribbean,8/28/23,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,46,Z
50128030,HALALIFY,Queens,6901,FRESH POND RD,11385,7185006680,American,8/28/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A
50118005,HO BRAH,Staten Island,4895,ARTHUR KILL ROAD,10309,7184902867,Other,8/28/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,22,N
50072638,PATENT COFFEE,Manhattan,49,WEST   27 STREET,10001,2126894002,American,8/28/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A
50112811,DRAGON BING,Manhattan,115,DELANCEY STREET,10002,9175191008,Chinese,8/28/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,12,A
50137167,CHANGLAI FISHBALLS NOODLES,Manhattan,55B,BAYARD STREET,10013,3477388828,Chinese,8/28/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12,A
50134439,MOCHA MOCHI,Brooklyn,5502,8 AVENUE,11220,3472747773,Chinese,8/28/23,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,86,N
50112811,DRAGON BING,Manhattan,115,DELANCEY STREET,10002,9175191008,Chinese,8/28/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A
50134439,MOCHA MOCHI,Brooklyn,5502,8 AVENUE,11220,3472747773,Chinese,8/28/23,Violations were cited in the following area(s).,20-01,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,Not Critical,,
50113235,G SUSHI,Brooklyn,7021,3 AVENUE,11209,3477986208,Japanese,8/28/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,19,Z
50131795,KENNEDY FRIED CHICKEN,Bronx,286,EAST  149 STREET,10451,9172921908,Chicken,8/28/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A
50131392,BAMBOO EMPANADAS & JUICE BAR,Manhattan,130,DYCKMAN STREET,10040,6467264704,"Juice, Smoothies, Fruit Salads",8/28/23,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,34,N
50134983,BAYA BAR,Manhattan,111,EAST   14 STREET,10003,6314646436,"Juice, Smoothies, Fruit Salads",8/28/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,32,N
50112608,CAFE ROUND K,Manhattan,78,CANAL STREET,10002,3474711601,Coffee/Tea,8/28/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,43,N
40808118,BAR TABAC,Brooklyn,128,SMITH STREET,11201,7186916393,French,8/28/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,40,
40605862,LICHEE NUT,Brooklyn,162,MONTAGUE STREET,11201,7185225565,Chinese,8/28/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A
41480283,CONNIE'S DELI,Bronx,240,EAST  204 STREET,10458,7182206911,Mexican,8/28/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,10,A
40733080,"DUNKIN',' BASKIN ROBBINS",Brooklyn,137,WYCKOFF AVENUE,11237,7184182483,Donuts,8/28/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A
50005783,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Queens,223-24,SOUTH CONDUIT AVENUE,11413,7183411600,Caribbean,8/28/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,46,Z
41653536,PIO HOT BAGELS,Staten Island,655,ROSSVILLE AVENUE,10309,7186056100,Bagels/Pretzels,8/28/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22,
50089926,KOLOMAN RESTAURANT & LOBBY BAR (in ACE Hotel New York),Manhattan,16,WEST   29 STREET,10001,2127908970,American,8/28/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,22,Z
50131253,TAQUERIA SABOR AZTECA,Brooklyn,271,BAY RIDGE AVENUE,11220,3473611154,Mexican,8/28/23,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,11,A
50121620,ROCCOS PIZZA,Bronx,397,BEDFORD PARK BOULEVARD,10458,8453816930,Pizza,8/28/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,13,A
50100481,EMPANADAS MONUMENTAL,Bronx,679B,MELROSE AVENUE,10455,3478797955,Spanish,8/28/23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,33,
50124688,MAMA MIA PIZZERIA,Brooklyn,2337,BATH AVENUE,11214,7183736356,Pizza,8/28/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,28,Z
50085355,SEPPE PIZZA BAR,Staten Island,7,NAVY PIER COURT,10304,7187273773,Pizza,8/28/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29,Z
50134787,DEXIN YUAN ZAI BING,Brooklyn,712,60 STREET,11220,9292026905,Chinese,8/28/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,30,N
50017910,LING LING YOUNG,Brooklyn,508,HENRY STREET,11231,7182609095,Chinese,8/28/23,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,42,
50097274,YUMI DELICACIES,Brooklyn,5902,FORT HAMILTON PARKWAY,11219,3476107995,Chinese,8/28/23,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,45,
50085355,SEPPE PIZZA BAR,Staten Island,7,NAVY PIER COURT,10304,7187273773,Pizza,8/28/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,29,Z
40808118,BAR TABAC,Brooklyn,128,SMITH STREET,11201,7186916393,French,8/28/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,40,
50140743,RED KUP,Manhattan,701,SAINT NICHOLAS AVENUE,10031,9293019405,Coffee/Tea,8/28/23,Violations were cited in the following area(s).,15-27,Sign prohibiting smoking or using electronic cigarettes not conspicuously posted.,Not Applicable,,
50008317,EL PATRON RESTAURANT & LOUNGE,Staten Island,520,BAY STREET,10304,3478617065,Mexican,8/28/23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,87,Z
50132748,SHIYUE FOOD,Queens,13621,ROOSEVELT AVE,11354,9292183400,Chinese,8/28/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,N
50005783,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Queens,223-24,SOUTH CONDUIT AVENUE,11413,7183411600,Caribbean,8/28/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,46,Z
50085355,SEPPE PIZZA BAR,Staten Island,7,NAVY PIER COURT,10304,7187273773,Pizza,8/28/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,29,Z
50134983,BAYA BAR,Manhattan,111,EAST   14 STREET,10003,6314646436,"Juice, Smoothies, Fruit Salads",8/28/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,32,N
50140379,DUNKIN DONUTS,Queens,10702,GRAND CENTRAL PKWY,11369,9179298584,Donuts,8/28/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,5,A
50138450,CHAMPION PIZZA,Queens,2236A,31ST ST,11105,3476124739,Pizza,8/28/23,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,60,
40808118,BAR TABAC,Brooklyn,128,SMITH STREET,11201,7186916393,French,8/28/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,40,
40605862,LICHEE NUT,Brooklyn,162,MONTAGUE STREET,11201,7185225565,Chinese,8/28/23,Violations were cited in the following area(s).,20-08,Failure to post or conspicuously post healthy eating information,Not Critical,,
50140202,PEPE JOE'S PIZZA,Bronx,722,COURTLANDT AVENUE,10451,7185854922,Pizza,8/28/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,10,A
50134983,BAYA BAR,Manhattan,111,EAST   14 STREET,10003,6314646436,"Juice, Smoothies, Fruit Salads",8/28/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,32,N
50087675,POPEYES,Queens,21903,N CONDUIT AVE,11413,7184135947,Chicken,8/28/23,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,25,
50134787,DEXIN YUAN ZAI BING,Brooklyn,712,60 STREET,11220,9292026905,Chinese,8/28/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,30,N
50134471,GREAT WALL,Queens,8712,ASTORIA BLVD,11369,6463380030,Chinese,8/28/23,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,35,N
50114768,KFC,Manhattan,203,WEST  125 STREET,10027,3322822248,Chicken,8/28/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,Z
50127492,FAMOUS 1 DOLLAR PIZZA,Manhattan,578A,9 AVENUE,10036,5513581106,Pizza,8/28/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,32,Z
50128030,HALALIFY,Queens,6901,FRESH POND RD,11385,7185006680,American,8/28/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A
50008317,EL PATRON RESTAURANT & LOUNGE,Staten Island,520,BAY STREET,10304,3478617065,Mexican,8/28/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,87,Z
50117290,WHEN IN BANGKOK,Queens,16116,NORTHERN BLVD,11358,3477618258,Thai,8/28/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A
50136343,LATELY CAFE,Queens,2308,44TH DR,11101,3475065710,Coffee/Tea,8/28/23,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,
