CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE
50034275,D.B.A.,Manhattan,41,1 AVENUE,10003,2124755097,American,8/31/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,6,A
50136540,GONG CHA,Manhattan,42,MOTT STREET,10013,6467264940,Coffee/Tea,8/31/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,41,N
50129081,ROAM DESSERT BAR & GALLERY,Queens,4114,27TH ST,11101,9174430818,Bakery Products/Desserts,8/31/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,54,N
40721162,CONTINENTAL LUNCHEONETTE & DELI,Queens,104-03,METROPOLITAN AVENUE,11375,7185208336,Sandwiches,8/31/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,18,
50048165,KING BARKA JAMAICAN & AMERICAN RESTAURANT INC,Manhattan,301,WEST  135 STREET,10030,3476418572,Caribbean,8/31/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,25,Z
50116821,CANTO WEST VILLAGE,Manhattan,117,PERRY STREET,10014,3152575472,Italian,8/31/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,A
50102310,ELEVA COFFEE,Brooklyn,7,BELL SLIP,11222,3472944200,Coffee/Tea,8/31/23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,11,A
50058388,SPOT DESSERT BAR,Queens,3916,PRINCE ST,11354,7184828712,Coffee/Tea,8/31/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,
50058218,CHIPOTLE MEXICAN GRILL #2838,Bronx,260,EAST  161 STREET,10451,7186655238,Tex-Mex,8/31/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A
50050386,PANDA EXPRESS,Manhattan,835,3 AVENUE,10022,2123552821,Chinese,8/31/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,34,
50123207,TAI PEI HANG,Queens,13620,38TH AVE,11354,9177946551,Chinese,8/31/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,19,Z
50073733,COFFEE RX,Brooklyn,1504,86 STREET,11228,9295006836,Coffee/Tea,8/31/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A
50132476,MOCHII,Manhattan,11,WEST   32 STREET,10001,6465771074,Frozen Desserts,8/31/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,48,N
40721162,CONTINENTAL LUNCHEONETTE & DELI,Queens,104-03,METROPOLITAN AVENUE,11375,7185208336,Sandwiches,8/31/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,18,
50121207,THIERRY ATLAN,Manhattan,436,WEST BROADWAY,10012,2016870721,Bakery Products/Desserts,8/31/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,10,A
50137698,BEST CHICKEN,Manhattan,359,GRAND STREET,10002,6465598580,Other,8/31/23,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,
41234310,MALIBU DINER,Manhattan,163,WEST   23 STREET,10011,2126911369,American,8/31/23,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,30,Z
50088988,CITY ONE,Manhattan,2726,FREDERICK DOUGLASS BOULEVARD,,2122688819,Chinese,8/31/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22,Z
50089409,KA LOK KITCHEN,Queens,13418,NORTHERN BLVD,11354,7184633333,Chinese,8/31/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,66,Z
50058388,SPOT DESSERT BAR,Queens,3916,PRINCE ST,11354,7184828712,Coffee/Tea,8/31/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,26,
50109521,BURGERMANIA,Manhattan,274,WEST   40 STREET,10018,9177237571,Hamburgers,8/31/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A
50138942,CHA CHA MATCHA,Manhattan,1158,BROADWAY,10001,9179575017,Other,8/31/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,26,N
50137698,BEST CHICKEN,Manhattan,359,GRAND STREET,10002,6465598580,Other,8/31/23,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,37,N
40424723,NITA'S EUROPEAN BAKERY,Queens,40-10,GREENPOINT AVENUE,11104,7187844047,Bakery Products/Desserts,8/31/23,Violations were cited in the following area(s).,05H,No approved written standard operating procedure for avoiding contamination by refillable returnable containers.,Critical,30,
50126795,SPRINGBONE KITCHEN,Manhattan,488,MADISON AVENUE,10022,9173018263,American,8/31/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A
50042943,LIC CORNER CAFE,Queens,2103,45TH RD,11101,7188061432,English,8/31/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,25,
50109521,BURGERMANIA,Manhattan,274,WEST   40 STREET,10018,9177237571,Hamburgers,8/31/23,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,11,A
41678553,JESSIE'S EXPRESS CAFE,Manhattan,411,8 AVENUE,10001,2122551266,Sandwiches/Salads/Mixed Buffet,8/31/23,Violations were cited in the following area(s).,19-06,"Providing single-use, non-compostable plastic straws to customers without customer request (including providing such straws at a self-serve station)",Not Critical,,
50128777,AGAVE RESTAURANT & LOUNGE,Bronx,1973,SOUTHERN BOULEVARD,10460,7185701846,Mexican,8/31/23,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,21,N
50139340,WANG DA SHUN,Queens,13328,41ST AVE,11355,9172852516,Chinese,8/31/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,57,Z
41620128,THINK COFFEE,Manhattan,73,8 AVENUE,10014,2122556542,Coffee/Tea,8/31/23,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,12,A
50130636,HAINAN CHICKEN HOUSE,Brooklyn,4807,8 AVENUE,11220,2473653864,Chinese,8/31/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,43,N
50069666,THOMAS PIZZA,Queens,9023,37TH AVE,11372,7188980347,Pizza,8/31/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,25,
50088988,CITY ONE,Manhattan,2726,FREDERICK DOUGLASS BOULEVARD,,2122688819,Chinese,8/31/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,22,Z
50134600,PADDY REILLY'S MUSIC BAR,Manhattan,519,2 AVENUE,10016,9177710304,Other,8/31/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,33,N
50138652,POPRICE,Queens,16216,UNION TPKE,11366,9179126591,Asian/Asian Fusion,8/31/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A
