CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50117851,CAFE VALDEZ,Queens,4015,JUNCTION BLVD,11368,7188694236,Latin American,8/29/25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,38,,,9/5/25,Cycle Inspection / Initial Inspection,40.7486399,-73.86909781,404,21,037500,4040220,4016050064,QN26,
41671103,ALFIE'S,Manhattan,800,9 AVENUE,10019,2127572390,Irish,8/29/25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,31,,,9/5/25,Cycle Inspection / Initial Inspection,40.76544869,-73.98750212,104,03,013300,1025389,1010440001,MN15,
50048982,SUNNY RESTAURANT,Queens,1041,BEACH   20 STREET,11691,3479264300,Tex-Mex,8/29/25,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11,A,8/29/25,9/5/25,Cycle Inspection / Initial Inspection,40.60313181,-73.75314778,414,31,100802,4300149,4157040060,QN15,
50138117,BOITHAK KHANA KITCHEN & SWEETS,Brooklyn,1102,LIBERTY AVENUE,11208,7186298242,Bangladeshi,8/29/25,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,47,Z,8/29/25,9/5/25,Cycle Inspection / Re-inspection,40.67846378,-73.86862319,305,37,118800,3094359,3042010018,BK83,
50159309,LOMA NO 5,Brooklyn,454,ROCKAWAY AVENUE,11212,9177765751,Spanish,8/29/25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,A,8/29/25,9/5/25,Cycle Inspection / Re-inspection,40.66895235,-73.91056555,316,41,092400,3326597,3035210052,BK81,
41658283,OPERA CAFE LOUNGE,Brooklyn,2255,EMMONS AVENUE,11235,7186762992,Turkish,8/29/25,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,9,A,8/29/25,9/5/25,Cycle Inspection / Initial Inspection,40.58368249,-73.94469084,315,48,060800,3342943,3087830064,BK17,
50081242,CAFE ALULA,Brooklyn,252,FRANKLIN STREET,11222,7183166161,Sandwiches/Salads/Mixed Buffet,8/29/25,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,10,A,8/29/25,9/5/25,Cycle Inspection / Re-inspection,40.7345907,-73.95835616,301,33,056300,3063893,3025040006,BK76,
50064820,LA VECINA,Queens,3066,STEINWAY ST,11103,7187558942,Latin American,8/29/25,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,21,,,9/5/25,Cycle Inspection / Initial Inspection,40.76231452,-73.91628766,401,22,015500,4010687,4006600176,QN70,
50034652,MCDONALD'S,Brooklyn,289,9 STREET,11215,5162560200,Hamburgers,8/29/25,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,5,A,8/29/25,9/5/25,Cycle Inspection / Initial Inspection,40.66956567,-73.9870984,306,39,013700,3022088,3010040031,BK37,
50104853,KARAMELO BAR & KITCHEN,Manhattan,141,NAGLE AVENUE,10040,3478438268,Latin American,8/29/25,Violations were cited in the following area(s).,15-42,"Failure to make a good faith effort to inform smokers or electronic cigarette users of Smoke-Free Air Act (""SFAA"") prohibitions",Not Applicable,,,,9/5/25,Smoke-Free Air Act / Initial Inspection,40.86102516,-73.92627471,112,10,028300,1064153,1021730025,MN35,
