Town,Median Household Income (In 2019 Inflation Adjusted Dollars)
Andover,105328
Ansonia,54901
Ashford,70952
Avon,131130
Barkhamsted,109688
Beacon Falls,85024
Berlin,101127
Bethany,129133
Bethel,101968
Bethlehem,98409
Bloomfield,76717
Bolton,105772
Bozrah,90156
Branford,77640
Bridgeport,46662
Bridgewater,111250
Bristol,67507
Brookfield,114615
Brooklyn,76047
Burlington,127353
Canaan,80298
Canterbury,91973
Canton,87567
Chaplin,70500
Cheshire,120546
Chester,88167
Clinton,79554
Colchester,105281
Colebrook,98250
Columbia,109962
Cornwall,80000
Coventry,96143
Cromwell,89243
Danbury,73297
Darien,232523
Deep River,85960
Derby,56357
Durham,119905
East Granby,104336
East Haddam,96928
East Hampton,95513
East Hartford,55967
East Haven,67390
East Lyme,95217
East Windsor,76824
Eastford,92813
Easton,157448
Ellington,91510
Enfield,79730
Essex,89261
Fairfield,139122
Farmington,93053
Franklin,96719
Glastonbury,120837
Goshen,109886
Granby,121250
Greenwich,152577
Griswold,64365
Groton,66657
Guilford,111870
Haddam,110497
Hamden,77274
Hampton,81016
Hartford,36278
Hartland,99722
Harwinton,111202
Hebron,121200
Kent,78125
Killingly,62550
Killingworth,110543
Lebanon,91684
Ledyard,94099
Lisbon,91125
Litchfield,84694
Lyme,100435
Madison,113798
Manchester,74503
Mansfield,51911
Marlborough,112557
Meriden,58843
Middlebury,121122
Middlefield,96111
Middletown,65572
Milford,91799
Monroe,118669
Montville,74106
Morris,87308
Naugatuck,74944
New Britain,46499
New Canaan,190227
New Fairfield,112457
New Hartford,106765
New Haven,42222
New London,46298
New Milford,89969
Newington,81646
Newtown,127602
Norfolk,75208
North Branford,90461
North Canaan,62432
North Haven,96598
North Stonington,75833
Norwalk,85769
Norwich,57052
Old Lyme,96567
Old Saybrook,83132
Orange,121308
Oxford,110111
Plainfield,70206
Plainville,72175
Plymouth,82063
Pomfret,93472
Portland,99292
Preston,79444
Prospect,101134
Putnam,60201
Redding,132838
Ridgefield,163945
Rocky Hill,85125
Roxbury,118971
Salem,109460
Salisbury,72658
Scotland,86053
Seymour,76195
Sharon,81919
Shelton,97131
Sherman,101818
Simsbury,123905
Somers,108560
South Windsor,107374
Southbury,98790
Southington,94463
Sprague,68301
Stafford,74386
Stamford,93059
Sterling,78684
Stonington,81667
Stratford,79430
Suffield,114208
Thomaston,68539
Thompson,80125
Tolland,118194
Torrington,63172
Trumbull,122451
Union,87083
Vernon,64587
Voluntown,85052
Wallingford,80793
Warren,104375
Washington,108250
Waterbury,42401
Waterford,90893
Watertown,79576
West Hartford,104281
West Haven,62985
Westbrook,79707
Weston,222535
Westport,206466
Wethersfield,86216
Willington,76908
Wilton,193292
Winchester,68750
Windham,47481
Windsor,92199
Windsor Locks,70067
Wolcott,95257
Woodbridge,157610
Woodbury,81362
Woodstock,86821
,
