FIPS,Town,Median Household Income (in 2021 dollars)
900104720,Bethel,101481
900108070,Bridgeport,50597
900108980,Brookfield,128606
900118500,Danbury,74600
900118850,Darien,250001
900123890,Easton,165469
900126620,Fairfield,149641
900133620,Greenwich,180447
900148620,Monroe,127995
900150580,New Canaan,214977
900150860,New Fairfield,129718
900152980,Newtown,133991
900156060,Norwalk,91434
900163480,Redding,140475
900163970,Ridgefield,160258
900168170,Shelton,103647
900168310,Sherman,123889
900173070,Stamford,99791
900174190,Stratford,86113
900177200,Trumbull,138801
900183430,Weston,204792
900183500,Westport,236892
900186370,Wilton,209635
900302060,Avon,130268
900304300,Berlin,101853
900305910,Bloomfield,81354
900308490,Bristol,73604
900310100,Burlington,143038
900312270,Canton,100000
900322070,East Granby,112857
900322630,East Hartford,58922
900324800,East Windsor,85120
900325990,Enfield,86880
900327600,Farmington,106773
900331240,Glastonbury,130294
900332640,Granby,115989
900337070,Hartford,37477
900337140,Hartland,105921
900344700,Manchester,78598
900345820,Marlborough,126850
900350440,New Britain,50379
900352140,Newington,90314
900360120,Plainville,72197
900365370,Rocky Hill,86410
900368940,Simsbury,134688
900370550,Southington,104963
900371390,South Windsor,126996
900374540,Suffield,115965
900382590,West Hartford,111997
900384900,Wethersfield,100557
900387000,Windsor,96080
900387070,Windsor Locks,79678
900502760,Barkhamsted,107969
900504930,Bethlehem,95338
900508210,Bridgewater,138272
900510940,Canaan,80938
900516050,Colebrook,106406
900517240,Cornwall,95089
900532290,Goshen,127344
900537280,Harwinton,118508
900540290,Kent,89348
900543370,Litchfield,98286
900549460,Morris,94167
900551350,New Hartford,100156
900552630,New Milford,93221
900553470,Norfolk,76382
900554030,North Canaan,60789
900560750,Plymouth,84550
900565930,Roxbury,107328
900566420,Salisbury,87688
900567960,Sharon,93385
900575730,Thomaston,81013
900576570,Torrington,63135
900579510,Warren,133125
900579720,Washington,109712
900580490,Watertown,81357
900586440,Winchester,65537
900587910,Woodbury,104081
900714300,Chester,93333
900715350,Clinton,98836
900718080,Cromwell,94468
900719130,Deep River,79090
900720810,Durham,133652
900722280,East Haddam,97353
900722490,East Hampton,107869
900726270,Essex,91618
900735230,Haddam,120247
900740710,Killingworth,117900
900747080,Middlefield,90125
900747360,Middletown,67485
900757320,Old Saybrook,95795
900761800,Portland,107034
900781680,Westbrook,64695
900901220,Ansonia,61846
900903250,Beacon Falls,90804
900904580,Bethany,136667
900907310,Branford,87738
900914160,Cheshire,132682
900919550,Derby,64494
900922910,East Haven,74238
900934950,Guilford,115171
900935650,Hamden,80779
900944560,Madison,140990
900946520,Meriden,59792
900946940,Middlebury,124619
900947535,Milford,97785
900949950,Naugatuck,86900
900952070,New Haven,48973
900953890,North Branford,101463
900954870,North Haven,110009
900957600,Orange,128171
900958300,Oxford,116431
900962290,Prospect,109800
900967610,Seymour,83781
900969640,Southbury,102044
900978740,Wallingford,88573
900980070,Waterbury,48787
900982870,West Haven,66868
900987560,Wolcott,103523
900987700,Woodbridge,171652
901106820,Bozrah,90750
901115910,Colchester,104527
901123400,East Lyme,98987
901129910,Franklin,89948
901133900,Griswold,66524
901134250,Groton,73999
901142390,Lebanon,96490
901142600,Ledyard,95359
901143230,Lisbon,83158
901144210,Lyme,111534
901148900,Montville,84246
901152350,New London,50819
901155500,North Stonington,85266
901156270,Norwich,59791
901157040,Old Lyme,113889
901162150,Preston,95553
901166210,Salem,108953
901171670,Sprague,78399
901173770,Stonington,90718
901178600,Voluntown,84583
901180280,Waterford,95880
901301080,Andover,102759
901306260,Bolton,116393
901316400,Columbia,113983
901317800,Coventry,94058
901325360,Ellington,109545
901337910,Hebron,131895
901344910,Mansfield,45388
901369220,Somers,107139
901372090,Stafford,85684
901376290,Tolland,121120
901377830,Union,89792
901378250,Vernon,68566
901385950,Willington,78351
901501430,Ashford,90441
901509190,Brooklyn,79961
901512130,Canterbury,95364
901513810,Chaplin,85083
901521860,Eastford,98000
901536000,Hampton,92143
901540500,Killingly,70728
901559980,Plainfield,68915
901561030,Pomfret,93467
901562710,Putnam,67070
901567400,Scotland,89625
901573420,Sterling,86394
901575870,Thompson,81649
901586790,Windham,49528
901588190,Woodstock,94451
